"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","Appraisal_Date","Utility_Sewer","Utility_Water","Utility_Electric","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","row_num"
"1774",317331010,68000,2018-02-16,"2001-06-01",19.86,2018-08-03,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1775",317334001,210000,2018-09-07,"2001-06-01",9.18,2016-03-08,"SEWER/SEPTIC NO","WATER AVAILABLE","POWER AVAILABLE","View Lim +",NA,219,"N","N","N","N","N","N","N",1
"1776",317352016,610000,2018-01-10,"2001-06-04",9.67,2016-05-17,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED","View Good",NA,219,"N","N","N","N","N","N","N",1
"1777",318014025,235000,2018-07-25,"2006-05-04",0.23,2015-10-27,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","Y","N",1
"1778",318023010,399500,2018-08-31,"2006-05-02",4.99,2015-09-10,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"1779",318026003,350000,2018-04-17,"2006-05-02",1.0399,2015-09-11,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","Y","N",1
"1780",318028002,650000,2018-10-30,NA,NA,NA,NA,NA,NA,NA,NA,1349,"N","N","N","N","N","N","N",1
"1781",318028003,550000,2018-10-31,NA,NA,NA,NA,NA,NA,NA,NA,1349,"N","N","N","N","N","N","N",1
"1782",318045015,3e+05,2018-11-07,"2006-05-02",0.5899,2015-10-19,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","Y","N","N","Y","N",1
"1783",318045062,208500,2018-05-04,"2006-05-02",0.2548,2019-05-20,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","Y","N","N","Y","N",1
"1784",318101031,1500000,2018-11-30,NA,NA,NA,NA,NA,NA,NA,NA,1349,"N","N","N","N","N","Y","N",1
"1785",318101066,290000,2018-03-22,"2006-05-03",0.51,2015-11-23,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","Y","N",1
"1786",318111030,124950,2018-07-31,"2006-05-03",5,2019-05-03,"SEWER/SEPTIC NO","WATER AVAILABLE","POWER AVAILABLE",NA,NA,1349,"N","Y","N","N","N","Y","N",1
"1787",318111701,415000,2018-06-26,"2006-05-03",19.66,2015-12-09,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","Y","N","N","N","Y","N",1
"1788",318126012,230000,2018-07-30,"2006-05-03",1.4376,2015-12-28,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","Y","N","N","N","Y","N",1
"1789",318132026,305800,2018-01-22,"2006-08-01",1.4049,2015-09-14,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","Y","N","N","N","Y","N",1
"1790",318148050,555000,2018-09-12,"2006-08-01",4.75,2015-12-10,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","Y","N","N","N","Y","N",1
"1791",318235026,260000,2018-10-23,"2006-08-01",1.2599,2015-12-16,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"1792",318238048,277570,2018-07-28,"2006-08-01",1.3199,2015-09-08,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"1793",318238104,246500,2018-07-30,"2006-08-01",0.28,2015-09-10,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"1794",317274002,125000,2018-06-27,"2001-06-01",20.08,2016-02-22,"SEWER/SEPTIC NO","WATER AVAILABLE","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1795",317281025,55000,2018-07-30,"2001-06-01",5,2016-02-23,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
