"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","square_feet","condition","quality","attic_finished_square_feet","basement_square_feet","basement_finished_square_feet","porch_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","stories","bedrooms","bathrooms","year_built"
"11498",319266034,290000,2018-12-12,2007-04-01,0.5,"0","0",5407,"0","1","0","0","0","1","0",1661,"6","5","0","0","0","0","1","0",1,2,3,2.25,1994
"11499",319268013,205000,2018-11-14,2007-04-01,1.5899,"0","0",5407,"0","1","0","0","0","1","0",2112,"6","4","0","0","0","0","0","0",2,2,4,2,2010
"11500",319268056,439950,2018-05-18,2007-04-01,0.4863,"0","0",5407,"0","1","0","0","0","1","0",3410,"6","5","0","0","0","1","1","0",1,2,4,3.5,2017
"11501",319273054,235000,2018-02-02,2007-02-01,0.1721,"0","0",5407,"0","1","0","0","0","1","0",1032,"6","3","0","0","0","1","1","0",0,1,3,1,1983
"11502",319276032,265000,2018-04-16,2007-02-01,1.1019,"0","0",5407,"0","0","0","0","0","1","0",1276,"6","3","0","0","0","0","0","0",0,2,3,2,2000
"11503",319277008,307000,2018-12-04,2007-02-01,0.2887,"0","0",5407,"0","1","0","0","0","1","0",1954,"6","4","0","0","0","1","1","0",2,2,3,1.75,1989
"11504",319278046,314000,2018-10-25,2007-02-01,0.1033,"0","0",5407,"0","1","0","0","0","1","0",1634,"6","4","0","0","0","0","1","0",0,2,4,2.5,2018
"11505",319292094,70000,2018-05-17,2007-01-01,0.1951,"0","0",5407,"0","0","0","0","0","1","0",648,"3","2","0","0","0","1","0","0",0,1,1,1,1963
"11506",319294048,605000,2018-09-11,2007-01-05,0.3219,"0","1",5407,"0","0","1","0","0","1","0",2951,"6","5","0","0","0","1","0","1",1,2,4,2.75,2014
"11507",319345004,352000,2018-07-09,2006-05-01,1,"0","0",5407,"0","1","0","0","0","1","0",1790,"6","5","0","0","0","1","1","0",2,2,3,2.25,1987
"11508",319358016,424999,2018-08-09,2006-05-01,1.21,"0","0",5407,"0","0","0","0","0","0","0",2112,"6","5","0","0","0","1","1","0",1,2,4,2,1998
"11509",319366036,47500,2018-12-04,2006-05-01,2,"0","0",5407,"1","0","1","0","0","1","0",1506,"6","6","0","0","0","1","0","0",1,1,3,1.75,1993
"11510",319367015,347000,2018-03-08,2006-05-01,0.1899,"0","0",5407,"1","0","0","0","0","1","0",2055,"6","5","0","0","0","1","1","0",1,2,4,2.5,2017
"11511",320063028,170000,2018-05-26,2017-01-25,0.1492,"0","0",943,"0","1","1","0","0","1","0",1258,"6","3","0","0","0","0","0","0",0,1,2,1,1968
"11512",320063079,322500,2018-12-17,2017-01-25,0.1652,"0","0",943,"0","1","1","0","0","1","0",1319,"6","4","0","0","0","1","0","0",1,1,3,1,1979
"11513",320064168,236500,2018-06-18,2017-01-25,0.179,"0","0",943,"0","1","1","0","1","1","0",1084,"6","4","0","0","0","1","0","1",1,1,2,1,1975
"11514",320067001,159500,2018-12-26,2017-01-25,0.2579,"0","0",943,"0","1","1","0","0","1","0",1018,"5","3","1","0","0","1","0","0",1,1,3,1,1975
"11515",320068009,232000,2018-06-06,2017-01-25,0.167,"0","0",943,"0","1","1","0","1","1","0",1024,"6","3","0","0","0","0","0","0",0,1,3,1,1994
"11516",320123032,295000,2018-04-24,2009-05-15,0.6772,"0","0",943,"0","0","0","0","0","0","0",1040,"6","4","0","1","0","1","0","0",1,1,2,1,1993
"11517",320133035,370000,2018-06-07,2009-01-15,0.7,"0","0",943,"0","1","0","0","0","1","0",2064,"6","5","0","0","0","1","0","0",1,2,3,2.5,1996
"11518",320141046,434000,2018-12-28,2009-01-15,1.73,"0","0",943,"0","0","1","0","0","1","0",2181,"6","4","0","0","0","0","0","0",1,2.5,2,2.25,1972
"11519",320141067,350000,2018-05-07,2009-01-15,2.39,"0","0",943,"0","0","1","0","0","1","0",960,"6","4","0","1","0","1","0","1",0,1,2,1,1985
"11520",320144028,580000,2018-05-23,2009-01-15,1,"0","0",943,"0","0","0","0","0","0","0",2932,"6","6","0","0","0","0","0","0",1,1.5,4,2.5,2007
"11521",320152073,192500,2018-08-29,2018-01-16,0.1262,"0","0",943,"0","1","1","1","1","1","0",1011,"6","4","0","0","0","0","1","0",1,1,3,1,2005
"11522",320203065,226000,2018-03-21,2018-01-21,0.2066,"0","0",943,"0","1","0","1","1","1","0",1803,"6","4","0","0","0","0","0","0",1,1,4,1.75,1968
"11523",320204024,250000,2018-08-27,2018-01-21,0.1294,"0","0",943,"0","1","0","1","1","1","0",1018,"6","3","0","0","0","0","0","0",0,1,2,1,1980
"11524",320204108,213000,2018-08-28,2018-01-21,0.117,"0","0",943,"0","1","1","1","1","1","0",780,"6","4","0","0","0","1","0","1",1,1,2,1,1975
"11525",320212051,328850,2018-06-11,2018-01-15,0.1434,"0","0",943,"0","1","0","1","1","1","0",1816,"6","4","0","0","0","0","0","0",1,1.5,3,1.5,1984
